id_ocorrencia,local_ocorrencia,latitude_ocorrencia,longitude_ocorrencia,data_ocorrencia,hora_ocorrencia,presen_agen_segur_ocorrencia,qtd_morto_civil_ocorrencia,qtd_morto_agen_segur_ocorrencia,qtd_ferido_civil_ocorrencia,qtd_ferido_agen_segur_ocorrencia,fonte_ocorrencia,estado_id,cidade_id,nome_cidade,cod_ibge_cidade,gentilico_cidade,populacao_cidade,area_cidade,densidade_demo_cidade,nome_estado,uf_estado,cod_ibge_estado
59,"Rua Figueiredo Camargo próximo ao 1332 - Bangu, Rio de Janeiro - RJ, Brasil",-22.8712005615,-43.4611129761,2016-07-05,22:45:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
60,"Gardênia Azul, Rio de Janeiro - RJ, Brasil",-22.958322525,-43.3517036438,2016-07-06,23:53:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
61,"Cidade de Deus, Rio de Janeiro - RJ, Brasil",-22.9481697083,-43.3626708984,2016-07-06,0:10:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
62,"Estr. do Camboatá - Guadalupe, Rio de Janeiro - RJ, Brasil",-22.8340682983,-43.3795166016,2016-07-06,0:15:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
63,"Jacarezinho, Rio de Janeiro - RJ, Brasil",-22.8875579834,-43.2581939697,2016-07-06,0:20:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
67,"Rua Doutor Garnier - Rocha, Rio de Janeiro - RJ, Brasil",-22.8967285156,-43.2486839294,2016-07-06,0:02:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
69,"Rua do Engenho Novo - Sampaio, Rio de Janeiro - RJ, Brasil",-22.901309967,-43.263217926,2016-07-05,0:40:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
70,"Rua Bispo Lacerda - Del Castilho, Rio de Janeiro - RJ, Brasil",-22.8763427734,-43.2680778503,2016-07-06,0:46:00,0,1,0,1,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
75,"Rua Ibiá - Turiaçu, Rio de Janeiro - RJ, Brasil",-22.8599529266,-43.3430671692,2016-07-06,1:44:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
77,"Lins de Vasconcelos, Rio de Janeiro - RJ, Brasil",-22.9128704071,-43.2845535278,2016-07-05,20:40:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
78,"Rua Pedro Guedes - Maracanã, Rio de Janeiro - RJ, Brasil",-22.9127998352,-43.2209587097,2016-07-06,6:51:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
79,"Linha Amarela - Jacarepagua, Rio de Janeiro - RJ, Brasil",-22.9656963348,-43.3570747375,2016-07-06,7:50:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
80,"Rua Cezar Muzio próximo ao 281 - Vicente de Carvalho, Rio de Janeiro - RJ, Brasil",-22.8543300629,-43.316860199,2016-07-06,8:19:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
82,"Rua Enes Filho - Penha Circular, Rio de Janeiro - RJ, Brasil",-22.83335495,-43.2862968445,2016-07-06,12:03:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
83,"Av. Vicente de Carvalho - Vicente de Carvalho, Rio de Janeiro - RJ, Brasil",-22.8512935638,-43.3110656738,2016-07-06,12:24:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
90,"Mangueira, Rio de Janeiro - RJ, Brasil",-22.9052505493,-43.2340126038,2016-07-06,18:48:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
93,"Estrada do Itararé - Ramos, Rio de Janeiro - RJ, Brasil",-22.8619403839,-43.2678642273,2016-07-06,19:40:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
