,timezone,tweet,hashtags,photos,retweets_count,replies_count,video,place
25,-3.0,"📌 cidade de deus | 🚨caveirão aéreo em operação na cdd . . 📝 ""recebemos imagens e mais cedo, do caveirão aéreo em operação na cdd. a operação da polícia militar continua na área de mata para onde os marginais…  https://www.instagram.com/p/b2rqcgtgdqt/?igshid=8ffpc1esnfyi …",[],[],1.0,0.0,0.0,
26,-3.0,"a pm segue a rotina de operações na cdd pelo terceiro dia seguido. já são três dias sem aula para as crianças e de terror para suas famílias. o governo witzel continua sua jornada de confrontos ostensivos, de caveirão aéreo, de naturalização da barbárie.",[],[],26.0,1.0,0.0,
27,-3.0,"manooo o caveirão aéreo tremeu o ap na cdd hj, foi clima tensoooo d+",[],[],0.0,1.0,0.0,
28,-3.0,"bem, eu estava na praia com uma turma grande de turistas e todos ficaram horrorizados com o rasante do caveirão aéreo e seus ridículos policiais exibidos.",[],[],0.0,1.0,0.0,
29,-3.0,caveirao aéreo  pic.twitter.com/rcbmemwkno,[],['https://pbs.twimg.com/media/ECInkoEWkAAbFBf.jpg'],13.0,1.0,0.0,
30,-3.0,"nova escola, por @leandrobeguoci | com 'caveirão aéreo', perdemos a sensibilidade para o horror cotidiano   https://www1.folha.uol.com.br/colunas/novaescola/2019/08/as-criancas-da-mare-serao-as-nossas-ultimas-testemunhas.shtml?utm_source=twitter&utm_medium=social&utm_campaign=twfolha …",[],[],5.0,10.0,0.0,
31,-3.0,"mas o caveirão aéreo só usa guarda-chuva e furadeira, igual os traficantes. não temam defensores de bandidos!",[],[],0.0,0.0,0.0,
32,-3.0,colunista: nova escola | folha - caveirao aéreo  https://www1.folha.uol.com.br/colunas/novaescola/ …,[],[],1.0,0.0,0.0,
33,-3.0,"nova escola | as crianças da maré serão as nossas últimas testemunhas; com 'caveirão aéreo', perdemos a sensibilidade para o horror cotidiano (por @leandrobeguoci)   https://www1.folha.uol.com.br/colunas/novaescola/2019/08/as-criancas-da-mare-serao-as-nossas-ultimas-testemunhas.shtml?utm_source=twitter&utm_medium=social&utm_campaign=twfolha …",[],[],66.0,30.0,0.0,
34,-3.0,"eu quase botando o pé pra fora de casa pra ir trabalhar, ouço o caveirão aéreo tremendo as portas e janelas da minha casa. pqppppppp",[],[],0.0,1.0,0.0,
35,-3.0,"atualizando 6h43  operação segue firme, caveirão terrestre e aéreo baqueando!   conjunto esperança, salsa e merengue, vila do joão, pinheiro atividade geral! não saíam gente!  morro do timbau, fogo cruzado, nova maré…  https://www.instagram.com/p/b0qdrdjapoz/?igshid=cz07tqn0jgjv …",[],[],20.0,1.0,0.0,
36,-3.0,eu deveria encontrar o meu médico pessoal hoje. não irei porque a pmerj resolveu praticar tiro na maré hoje. obrigada @wilsonwitzel! adorei o despertador modo caveirão aéreo!   #marévive #afavelaresiste,"['#marévive', '#afavelaresiste']",[],0.0,1.0,0.0,
37,-3.0,"crimes do ""caveirão aéreo"" // mpf quer investigar crimes a bordo de helicópteros em ação policial no rio |  https://www.revistaforum.com.br/mpf-quer-investigar-crimes-a-bordo-de-helicopteros-em-acao-policial-no-rio/#.xqlui0vj_hg.twitter …",[],[],1.0,0.0,0.0,
38,-3.0,o rj trasportao contrabando no caveirao aqui taxi aereo no helicopetero da policiia piiada sabe por que isso acontece falta de puniçao,[],[],0.0,0.0,0.0,
39,-3.0,"@bomdiarj @bdrj #bdrj possivel operaçao da policia em duque de caxias, no complexo da mangueirinha. com caveirão aéreo.",['#bdrj'],[],0.0,0.0,0.0,
40,-3.0,"nesta coleta está o caso do ""caveirão aéreo"" do governador @wilsonwitzel ?",[],[],0.0,0.0,0.0,
41,-3.0,governo terrorista ataca + uma vez a favela da maré com caveirão aéreo  e terrestre. deus proteja a população das mão desses assassinos. a fascismo produtor do #ódio  atacam covardemente se preparando  p/eleições 2022 usando corpos humanos como alimento a esse poder pobre..😡,['#ódio'],[],0.0,0.0,0.0,
42,-3.0,"#acordamorador ""caveirão aéreo"" do governador continua aterrorizando as favelas do estado. agora, um helicóptero sobrevoa o complexo da maré disparando sobre as comunidades do parque união, nova holanda e rubens vaz, segundo relatos de moradores sempre em horário escolar 🤔",['#acordamorador'],[],1.0,0.0,0.0,
43,-3.0,caveirão aéreo disparando sibre as comunidades  https://twitter.com/danimontpsol/status/1128015881756467200 …,[],[],0.0,0.0,0.0,
44,-3.0,"urgente! o ""caveirão aéreo"" do governo witzel continua aterrorizando as favelas do estado. agora, um helicóptero sobrevoa o complexo da maré disparando sobre as comunidades do parque união, nova holanda e rubens vaz, segundo relatos de moradores. até quando?!",[],[],166.0,10.0,0.0,
45,-3.0,e as políticas de segurança pública do governo witzel - em acordo com a do governo anterior - continua agindo de forma racista e violenta nas favelas. caveirão aéreo atirando à esmo na maré. população acuada e sofrendo violações diversas à todo tempo.,[],[],1.0,0.0,0.0,
46,-3.0,"#urgente   15:55 - clima tenso no complexo da maré!!! caveirão aéreo sobrevoando a área e atirando, segundo informações de moradores da região.",['#urgente'],[],17.0,0.0,0.0,
47,-3.0,"após ação de witzel no “caveirão aéreo”, colégio coloca placa no teto: “escola. não atire!”  https://www.diariodocentrodomundo.com.br/essencial/apos-acao-de-witzel-no-caveirao-aereo-colegio-coloca-placa-no-teto-escola-nao-atire/ …",[],[],1.0,0.0,0.0,
48,-3.0,"após ação de witzel no “caveirão aéreo”, colégio coloca placa no teto: “escola. não atire!”  https://www.diariodocentrodomundo.com.br/essencial/apos-acao-de-witzel-no-caveirao-aereo-colegio-coloca-placa-no-teto-escola-nao-atire/ …",[],[],15.0,0.0,0.0,
