DATA,MES,HORA_INICIO,HORA_TERMINO,AERONAVES,MOTIVO,LOCAL,SOLICITANTE,DIA_DA_SEMANA,duracao_num,duracao
08/11/2017,11/2017,10:00:00,11:00:00,PR-EPC/PR-FEC,OPR,SÃO GONÇALO,CORE,,1,1:00:00
09/11/2017,11/2017,12:00:00,13:00:00,PR-EPC,OPR,SÃO GONÇALO,CORE,,1,1:00:00
10/11/2017,11/2017,10:40:00,11:30:00,PR-EPC/PR-FEC,OPR,ENG. RAINHA,CORE,,"0,8",0:50:00
10/11/2017,11/2017,06:00:00,06:30:00,PR-EPC/PR-FEC,OPR,NITERÓI,CORE,,"0,5",0:30:00
10/11/2017,11/2017,06:00:00,07:00:00,PR-EPC/PR-FEC,OPR,VILA KENNEDY,34 2 DP,,1,1:00:00
,11/2017,09:00:00,10:00:00,PR-EPC/PR-FEC,OPR,VILA KENNEDY,DCOD/DRFC,,1,1:00:00
,11/2017,11:30:00,12:21:00,PR-EPC/PR-FEC,OPR,FALET/PRAZERES,DCOD/DRFC,,"0,8",0:51:00
,11/2017,16:00:00,16:40:00,PR-EPC/PR-FEC,OPR,C.GRANDE 1,CORE/DH,,"0,7",0:40:00
,11/2017,17:50:00,18:29:00,PR-EPC,OPR,C.GRANDE,CORE/DH,,"0,7",0:39:00
,11/2017,12:00:00,12:52:00,PR-FEC,POR,SANTA CRUZ,CORE,,"0,9",0:52:00
,11/2017,11:50:00,13:00:00,PR-EPC,OPR,SANTA CRUZ,CORE,,"1,2",1:10:00
,11/2017,05:55:00,06:54:00,PR-EPC/PR-FEC,OPR,CDD,CORE,,1,0:59:00
,11/2017,13:30:00,14:40:00,PR-EPC,OPR,ILHA GOVERNADOR,CORE 39DP,,"1,2",1:10:00
,11/2017,05:40:00,06:39:00,PR-EPC/PR-FEC,OPR,C.GRANDE,CORE,,1,0:59:00
,11/2017,09:05:00,09:42:00,PR-FEC,OPR,PRAÇA SECA,DRACO,,"0,6",0:37:00
,11/2017,06:25:00,07:06:00,PR-FEC,OPR,MARÉ,DCOD,,"0,7",0:41:00
,11/2017,08:30:00,09:30:00,PR-FEC,OPR,CAXIAS,DRFC,,1,1:00:00
,12/2017,05:50:00,06:40:00,PR-FEC,OPR,BELFORD ROXO,CORE,,"0,8",0:50:00
,12/2017,10:30:00,11:05:00,PR-FEC/PR-FEC,OPR,BELFORD ROXO,CORE__ CORE,,"0,6",0:35:00
,12/2017,17:00:00,19:40:00,PR-FEC,OPR,S.GONÇALO/NITERÓI,CORE,,,
,12/2017,15:15:00,15:45:00,PR-FEC,OPR,RECREIO,CORE,,,
,12/2017,08:00:00,11:00:00,PR-FEC,OPR,MARÉ,CORE,,,
05/12/2017,12/2017,11:30:00,13:15:00,PR-FEC,OPR,MARÉ,CORE,2,,
06/12/2017,12/2017,16:00:00,16:30:00,PR-FEC,OPR,S.GONÇALO/NITERÓI,CORE,3,,
08/12/2017,12/2017,14:30:00,15:11:00,PR-FEC,OPR,MANGUINHOS ,CORE,5,,
,12/2017,05:40:00,07:05:00,PR-FEC,OPR,QUEIMADOS,DHBF,1,,
,12/2017,07:35:00,08:55:00,PR-FEC,OPR,QUEIMADOS,DHBF,1,,
,12/2017,14:50:00,15:15:00,PR-FEC,OPR,MANGUEIRA,CORE,7,,
,12/2017,11:45:00,12:13:00,PR-FEC,OPR,PARQUE ARARÁ,CORE,3,,
