"DATA","AERONAVE","LOCAL"
"03/07/2018","PR-FEC","COMPLEXO LINS"
"03/07/2018","PR-EPC","COMPLEXO LINS"
"04/07/2018","PR-EPC","CABO FRIO"
"06/07/2018","PR-EPC","SERRINHA"
"08/07/2018","PR-EPC","XERÉM"
"12/07/2018","PR-EPCC/PR-FEC","MORRO DO ADEUS"
"13/07/2018","PR-EPC","DENDÊ / ILHA GOVERNADOR"
"27/07/2018","PR-EPCC/PR-FEC","GUANDU"
"02/08/2018","PR-EPCC/PR-FEC","SÃO GONÇALO"
"06/08/2018","PR-EPCC/PR-FEC","VILA ALIANÇA"
"08/08/2018","PR-EPCC/PR-FEC","CHARITAS"
"10/08/2018","PR-EPCC/PR-FEC","BELFORD ROXO"
"14/08/2018","PR-EPCC/PR-FEC","SANTA CRUZ"
"18/08/2018","PR-EPC","SULACAP"
"21/08/2018","PR-EPCC/PR-FEC","ARARÁ"
"22/08/2018","PR-EPCC/PR-FEC","MORRO DA MINEIRA"
"22/08/2018","PR-EPCC/PR-FEC","CAXIAS"
"22/08/2018","PR-EPCC/PR-FEC","KM 32 CAMPO GRANDE"
"24/08/2018","PR-EPC","ANGRA"
"01/09/2018","PR-EPCC/PR-FEC","SÃO GONÇALO"
"03/09/2018","PR-EPC","MORRO DA URCA"
"05/09/2018","PR-EPC","VILA KENEDY"
"05/09/2018","PR-EPC","PRAIA DA URCA"
"05/09/2018","PR-FEC","VILA KENEDY"
"17/09/2018","PR-FEC","CAXIAS"
"18/09/2018","PR-FEC","VILA ALIANÇA"
"20/09/2018","PR-EPCC/PR-FEC","SALGUEIRO / ITABORAÍ"
"21/09/2018","PR-EPC","CASTELAR"
"22/09/2018","PR-EPC","ORLA"
"22/09/2018","PR-EPC","ORLA"
"24/09/2018","PR-FEC","SALGUEIRO / S. GONÇALO"
"24/09/2018","PR-EPC","SALGUEIRO / S. GONÇALO"
"24/09/2018","PR-EPC","SALGUEIRO / S. GONÇALO"
"24/09/2018","PR-EPC","SALGUEIRO / S. GONÇALO"
"24/09/2018","PR-FEC","SALGUEIRO / S. GONÇALO"
"25/09/2018","PR-EPC","PARQUE DAS MISSÕES"
"26/09/2018","PR-EPCC/PR-FEC","TAQUARAL"
"26/09/2018","PR-EPCC/PR-FEC","SALGUEIRO"
"27/09/2018","PR-EPCC/PR-FEC","KELSON"
"09/10/2018","PR-EPC","CENTRO DO RIO"
"10/10/2018","PR-EPC","ILHA DO GOVERNADOR"
"11/10/2018","PR-EPCC/PR-FEC","SÃO GONÇALO / ROCHA"
"18/10/2018","PR-EPC","LAGOA / ROCINHA"
"19/10/2018","PR-EPCC/PR-FEC","FAVELA DO DIQUE"
"20/10/2018","PR-EPC","CAMPO GRANDE"
"21/10/2018","PR-EPC","CAMPO GRANDE"
"22/10/2018","PR-FEC","VILA ALIANÇA"
"22/10/2018","PR-FEC","VILA ALIANÇA"
"01/11/2018","PR-FEC","URUBU"
"01/11/2018","PR-EPC","URUBU"
"05/11/2018","PR-FEC","REALENGO"
"05/11/2018","PR-EPC","REALENGO"
"09/11/2018","PR-EPC","CIDIPOL"
"12/11/2018","PR-EPCC/PR-FEC","CAMPINHO"
"12/11/2018","PR-EPCC/PR-FEC","RETA VELHA"
"21/11/2018","PR-EPC","VILA CRUZEIRO"
"21/11/2018","PR-FEC","VILA CRUZEIRO"
"21/11/2018","PR-FEC","VILA CRUZEIRO"
"23/11/2018","PR-ECP","JACAREPAGUA"
"26/11/2018","PR-ERC/PR-FEC","RETA VELHA/ITABORAÍ"
"28/11/2018","PR-FEC","CAXIAS"
"29/11/2018","PR-FEC","SÃO GONÇALO"
"04/12/2018","PR-FEC","SENADOR CAMARÁ"
"06/12/2018","PR-FEC","FAVELA DO DIQUE"
"10/12/2018","PR-EPC/PR-FEC","BANGU "
"11/12/2018","PR-EPC/PR-FEC","PAVUNA"
"11/12/2018","PR-FEC","PAVUNA"
"13/12/2018","PR-EPC","ANGRA"
"13/12/2018","PR-EPC","PEDREIRA"
"14/12/2018","PR-EPC","NITERÓI"
"14/12/2018","PR-FEC","NITERÓI"
"19/12/2018","PR-EPC","ANGRA"
"20/12/2018","PR-EPC","SANTA CRUZ"
"20/12/2018","PR-FEC","SANTA CRUZ"
"28/12/2018","PR-EPC/PR-FEC","MORRO DO CASTRO"
"30/12/2018","PR-EPC","RECREIO"
"30/12/2018","PR-EPC","RECREIO"
"31/12/2018","PR-EPC","ORLA"
"20/03/2019","PR-EPCC/PR-FEC","COMUNIDADE DO BOREL"
"21/03/2019","PR-EPCC/PR-FEC","SENADOR CAMARÁ"
"22/03/2019","PR-EPCC/PR-FEC","COMUNIDADE KELSON"
"26/03/2019","PR-EPCC/PR-FEC","COMUNIDADE DO ROLA"
"27/03/2019","PR-FEC","COMUNIDADE PARQUE UNIÃO"
"01/04/2019","PR-EPCC/PR-FEC","PACIÊNCIA"
"08/04/2019","PR-FEC","COMUNIDADE VIRADOURO"
"10/04/2019","PR-EPCC/PR-FEC","COMUNIDADE BATEUA MOUCHE NA PRAÇA SECA"
"12/04/2019","PR-FEC","COMUNIDADE DE MANGUINHOS"
"14/04/2019","PR-FEC","COMUNIDADE DA SERRINHA"
"16/04/2019","PR-EPCC/PR-FEC","CIDADE DE DEUS"
"17/04/2019","PR-FEC","PACIÊNCIA"
"18/04/2019","PR-EPCC/PR-FEC","COMUNIDADE DO JURAMENTO"
