"data","disparo","cidade","bairro","cod_bairro","local","outras_regioes","fonte","fonte2","tipo_operacao","media_fonte","media_link","presenca_civil","presenca_pmerj","presenca_uniao"
"02/05/2017",0,"Rio de Janeiro","Cordovil",46,"Cidade Alta","Parada de Lucas","GAM",,"ND",,,,"GAM",
"09/06/2017",0,"Rio de Janeiro","Santa Teresa",14,"Fallet","Fogueteiro;Morro dos Prazeres;Escondidinho","GAM",,"ND",,,,"GAM",
"19/06/2017",0,"Rio de Janeiro","Santa Cruz",149,"Antares","Rola","GAM",,"ND",,,,"GAM",
"20/06/2017",0,"ND",,,"Baixada Fluminense",,"GAM",,"ND",,,,"GAM",
"24/06/2017",0,"Rio de Janeiro","Cordovil",46,"Cidade Alta",,"GAM",,"ND",,,,"GAM",
"28/06/2017",0,"Rio de Janeiro","Pavuna",114,"Complexo da Pedreira",,"GAM",,"ND",,,,"GAM",
"10/07/2017",0,"Rio de Janeiro","Cidade de Deus",118,,,"GAM",,"ND",,,,"GAM",
"17/07/2017",0,"Rio de Janeiro","Mangueira",11,,,"GAM",,"ND",,,,"GAM",
"25/07/2017",0,"Rio de Janeiro","Copacabana",24,"Pavão Pavaozinho",,"GAM",,"ND",,,,"GAM",
"31/07/2017",0,"Rio de Janeiro","Tijuca",33,"Turano",,"GAM",,"ND",,,,"GAM",
"03/08/2017",0,"Rio de Janeiro","Tanque",123,"Covanca",,"GAM",,"ND",,,,"GAM",
"05/08/2017",0,"Rio de Janeiro","Marechal Hermes",90,"Rua Quirim",,"GAM",,"ND",,,,"GAM",
"05/08/2017",0,"Rio de Janeiro","Praça Seca",124,"São José Operário",,"GAM",,"ND",,,,"GAM",
"05/08/2017",1,"Rio de Janeiro","Lins de Vasconcelos",62,,,"GAM",,"ND",,,,"GAM",
"08/08/2017",0,"Rio de Janeiro","Penha",43,"Parque Proletário","Vila Cruzeiro;Chatuba","GAM",,"ND",,,,"GAM",
"10/08/2017",0,"Rio de Janeiro","Madureira",83,"Serrinha",,"GAM",,"ND",,,,"GAM",
"15/08/2017",0,"Rio de Janeiro","Praça Seca",124,"São José Operário",,"GAM",,"ND",,,,"GAM",
"16/08/2017",0,"Niterói","Florália",,"Caramujo",,"GAM",,"ND",,,,"GAM",
"21/08/2017",0,"Rio de Janeiro","Mangueira",11,,,"GAM",,"ND",,,,"GAM",
"21/08/2017",1,"Rio de Janeiro","Jacarezinho",155,"Jacarezinho",,"Defezap","Facebook","Vingança","The Intercept","http://archive.is/pSLO0","SAER;CORE",,
"23/08/2017",0,"Rio de Janeiro","Tijuca",33,"Morro da Formiga",,"GAM",,"ND",,,,"GAM",
"28/08/2017",0,"Rio de Janeiro","Praça Seca",124,,,"GAM",,"ND",,,,"GAM",
"30/08/2017",0,"São Gonçalo","Complexo do Salgueiro",,,,"GAM",,"ND",,,,"GAM",
"31/08/2017",0,"São Gonçalo","Complexo do Salgueiro",,,,"GAM",,"ND",,,,"GAM",
"04/09/2017",0,"Rio de Janeiro","Praça Seca",124,"Covanca","São José Operário","GAM",,"ND",,,,"GAM",
"10/09/2017",0,"Rio de Janeiro","Santa Cruz",149,"Rola","Antares","GAM",,"ND",,,,"GAM",
"11/09/2017",0,"Rio de Janeiro","Maré",157,"Vila do João","Vila dos Pinheiro;Conjunto Esperança","GAM",,"ND",,,,"GAM",
"12/09/2017",0,"Rio de Janeiro","Complexo do Alemão",156,"Chatuba",,"GAM",,"ND",,,,"GAM",
"12/09/2017",0,"Rio de Janeiro","Caju",4,,,"GAM",,"ND",,,,"GAM",
"14/09/2017",0,"Rio de Janeiro","Maré",157,"Vila do João","Vila do Pinheiro;Timbau;Baixa do Sapateiro;Conjunto Nova Maré;Conjunto Esperança;Salsa e Merengue","GAM",,"ND",,,,"GAM",
"15/09/2017",0,"Rio de Janeiro","Vila Kennedy",162,"Avenida Brasil",,"GAM",,"ND",,,,"GAM",
"15/09/2017",0,"Rio de Janeiro","Vicente de Carvalho",73,"Juramento",,"GAM",,"ND",,,,"GAM",
"20/09/2017",0,"Rio de Janeiro","Vicente de Carvalho",73,"Juramento",,"GAM",,"ND",,,,"GAM",
"20/09/2017",0,"Rio de Janeiro","Estácio",9,"São Carlos",,"GAM",,"ND",,,,"GAM",
"20/09/2017",0,"Rio de Janeiro","Vidigal",30,,,"GAM",,"ND",,,,"GAM",
"21/09/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,"GAM",
"22/09/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,"GAM",
"01/10/2017",0,"Rio de Janeiro","Estácio",9,"São Carlos","Tijuca;Turano;Canoas;Palmeiras","GAM",,"ND",,,,,
"01/10/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"03/10/2017",0,"Rio de Janeiro","Estácio",9,"São Carlos",,"GAM",,"ND",,,,,
"04/10/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"05/10/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"06/10/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"07/10/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"08/10/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"09/10/2017",0,"Japeri","Engenheiro Pedreira",,"Parque Guandu",,"GAM",,"ND",,,,,
"10/10/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"11/10/2017",0,"Rio de Janeiro","Rocinha",154,"Calha","Trilhas para o Vidigal","GAM",,"ND",,,,,
"19/10/2017",0,"Rio de Janeiro","Estácio",9,"São Carlos",,"GAM",,"ND",,,,,
"20/10/2017",0,"Rio de Janeiro","Vicente de Carvalho",73,"Juramento","Serrinha","GAM",,"ND",,,,,
"24/10/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"25/10/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"26/10/2017",0,"Rio de Janeiro","Praça Seca",124,"São José Operario","Barão;Lins","GAM",,"ND",,,,,
"27/10/2017",0,"Rio de Janeiro","Lins de Vasconcelos",62,,,"GAM",,"ND",,,,,
"28/10/2017",0,"Rio de Janeiro","Rocinha",154,,"Vidigal","GAM",,"ND",,,,,
"28/10/2017",1,"Rio de Janeiro","Mangueira",11,"Mangueira",,"OTT-RJ",,"ND","Defezap","https://www.facebook.com/defezap/photos/a.1690334357899897.107%203741829.1620931094840224/1935915980008399/?type=3&theater","SAER;CORE",,
"29/10/2017",0,"Rio de Janeiro","Lins de Vasconcelos",62,,,"GAM",,"ND",,,,,
"30/10/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"31/10/2017",0,"Rio de Janeiro","Maré",157,"Rua 1","Rua 2","GAM",,"ND",,,,,
